name,address,rate,price,rank,suggested duration,description,attraction type,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible
Leadenhall Market,London England,4.0,0,385,N/A,"Located between the districts of Chelsea and Belgravia, this square is synonymous with wealth and the very finest that money can ","['Other', 'Sights & Landmarks', 'Neighbourhoods']",60,64,21,3,3
Apollo Theatre,N/A,4.5,£65.00,278,N/A,N/A,"['Concerts & Shows', 'Theatres']",589,244,86,49,48
Roundhouse,"12 Stephenson Way, London NW1 2HD England",4.5,0,59,N/A,"The Magic Circle Headquarters is home to the world's premier magical society, The Magic Circle. It also houses a theatre, museum and entertainment space. We regularly hold events and open days for the public including History and Mystery at The...","['Concerts & Shows', 'Museums', 'Theatres', 'Speciality Museums', 'More']",229,33,7,2,4
Kenwood House,N/A,4.5,0,46,N/A,N/A,"['Food & Drink', 'Distilleries']",172,28,4,8,1
ZSL London Zoo,N/A,4.0,£25.20,428,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",268,266,213,83,43
Hill Garden & Pergola,"Peninsula Square, London SE10 0DX England",5.0,0,487,3,"The O2 is home to the world’s most popular music, sport, comedy and entertainment. Experience shopping at ICON Outlet; climb Up at The O2; enjoy cinema, trampolining and bowling and choose from over 30 bars and restaurants plus Mamma Mia! The Party...","['Sights & Landmarks', 'Arenas & Stadiums']",1879,1520,692,377,461
Chinatown,N/A,4.0,0,250,N/A,N/A,"['Shopping', 'Flea & Street Markets']",131,138,40,3,2
SEA LIFE London Aquarium,"Westminster Bridge Road Riverside Building, County Hall, London SE1 7PB England",3.5,£20.38,521,2,"Welcome to DreamWorks Tours: Shrek’s Adventure! London. A brilliantly bonkers interactive and immersive walkthrough experience, where the whole family can step into and star in your own hilarious misadventure with Shrek and his DreamWorks friends...","['Water & Amusement Parks', 'Theme Parks']",1179,1056,680,308,344
Prince of Wales Theatre,N/A,4.5,0,208,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",123,64,34,4,1
The Shard,N/A,4.0,0,168,N/A,N/A,"['Concerts & Shows', 'Theatres']",192,117,37,13,5
National Theatre,N/A,4.5,0,73,N/A,N/A,"['Museums', 'Speciality Museums']",147,53,6,2,0
The Household Cavalry Museum,"Exhibition Centre Warwick Road, London SW5 9TA England",4.5,£8.00,356,N/A,"Young and international area in London that offers a wide selection of restaurants, shops and p","['Sights & Landmarks', 'Other', 'Neighbourhoods']",77,85,38,7,4
Greenwich Foot Tunnel,"Coldharbour Lane Junction, London SW9 8PS England",4.0,0,191,2,"Brixton Village houses over 100 independent traders whose restaurants, boutiques, fruit and veg, meat, fish and massses of international food shops. This has created one of the most exciting places to visit in Lon","['Shopping', 'Flea & Street Markets']",118,76,8,4,2
Bond Street,"40 Brunswick Square, London WC1N 1AZ England",4.5,0,223,2,"The Foundling Museum explores the history of the Foundling Hospital, the UK’s first children’s charity and first public art gallery. Established in 1739 by philanthropist Thomas Coram, and continuing today as the children’s charity Coram, the...","['Museums', 'History Museums', 'Art Museums']",242,176,51,18,4
Craven Cottage,N/A,4.5,0,133,N/A,N/A,"['Concerts & Shows', 'Theatres']",568,167,35,25,25
Saatchi Gallery,N/A,4.5,0,124,N/A,N/A,"['Sights & Landmarks', 'Historic Sites', 'Architectural Buildings']",88,58,7,0,0
The Queen's Walk,N/A,4.5,0,152,N/A,N/A,"['Other', 'Sights & Landmarks', 'Neighbourhoods']",69,57,3,0,0
Piccadilly Theatre,"1 New Change, London EC4M 9AF England",4.0,£108.00,218,2,"One New Change is London’s newest shopping destination, complete with cafés and restaurants from renowned chefs and flagship menswear and womenswear fashion brands, all set overlooking London’s most famous landmark, St. Paul’s Cathedral. The...","['Shopping', 'Shopping Malls']",142,120,30,2,5
Hatton Garden,N/A,4.5,0,182,N/A,N/A,"['Sights & Landmarks', 'Nature & Parks', 'Gardens', 'Points of Interest & Landmarks', 'More']",82,69,13,0,0
Beefeater Gin Distillery,"2 Charing Cross Road, London WC2H 0HH England",4.0,0,194,N/A,"Rock of ages is created by Elliot Davis and James Bourne. Running at the Garrick Theatre, this show stars Aaron Sidwell as Michael, Eliza Hope Bennett as Holly, Stewart Clarke as Eddie, Charlotte Harwood as Leia, Richard Lowe as Lucas, Lil Chris as...","['Concerts & Shows', 'Theatres']",429,210,72,40,22
Big Ben,"Russell Square, London WC1B 5EH England",4.5,0,324,N/A,"Square located in Bloomsbury central London, with easy access to nearby attractions like the British Museum, Covent Garden and Oxford Street for shopp","['Sights & Landmarks', 'Points of Interest & Landmarks']",191,314,88,9,10
Dulwich Picture Gallery,N/A,4.5,0,331,N/A,N/A,"['Concerts & Shows', 'Theatres']",376,194,59,32,109
Apollo Victoria Theatre,N/A,4.5,0,105,N/A,N/A,"['Sights & Landmarks', 'Churches & Cathedrals', 'Architectural Buildings', 'Sacred & Religious Sites', 'Historic Sites', 'More']",164,57,11,2,7
City of London Information Centre,"Terminal 5 Departures, London Heathrow Airport, London TW6 2GA England",4.5,0,348,3,"In an ideal location overlooking the runway, Plaza Premium Lounge Terminal 5 Departures is the perfect setting for both business and leisure passengers. The luxurious space is open to all travellers and features an abundance of comfortable seating...","['Traveller Resources', 'Airport Lounges']",177,61,29,30,25
Haymarket Theatre Royal,N/A,4.0,£90.00,139,N/A,N/A,"['Concerts & Shows', 'Theatres']",529,145,41,12,32
Queen's House,N/A,4.5,0,351,N/A,N/A,['Nature & Parks'],79,30,3,1,3
Winter Wonderland,"Byward Street, London EC3R 5BJ England",4.0,0,109,N/A,"All Hallows By The Tower church (sometimes known historically as 'All Hallows Barking') was founded in 675 AD and, throughout London's history, has played a key part in almost every important event. A Roman pavement, Saxon stonework, Mediaeval...","['Museums', 'Sights & Landmarks', 'Speciality Museums', 'Churches & Cathedrals', 'More']",176,87,13,4,0
West End Theatre District,N/A,4.5,0,226,N/A,N/A,"['Concerts & Shows', 'Theatres']",141,72,22,11,11
Victoria Park,N/A,4.5,0,235,N/A,N/A,"['Sights & Landmarks', 'Historic Walking Areas', 'Points of Interest & Landmarks']",193,199,59,0,0
Whitehall,"Baker Street, London W1U England",4.5,0,375,N/A,"Baker Street is considered the center of England's punk movement, and whose name conjures images of Victorian England and the stories of Sherlock Hol","['Sights & Landmarks', 'Points of Interest & Landmarks']",122,183,96,16,8
London Victoria Station,N/A,4.0,0,233,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",229,237,68,2,1
Kensington,"Hyde Park Green Park, London W2 2UH England",4.5,0,53,N/A,"The RAF Benevolent Fund is proud and privileged to be the custodian of the new Bomber Command Memorial in central London. The memorial has been built to be modern, yet classical, in Portland stone. At its heart are the bronze sculptures of a Bomber...","['Sights & Landmarks', 'Monuments & Statues']",2094,513,121,12,14
Gielgud Theatre,N/A,4.5,0,293,N/A,N/A,"['Concerts & Shows', 'Theatres']",203,136,45,22,36
Sherlock Holmes Museum,"Cranbourn Street Leicester Square, London WC2H 7JH England",3.5,0,303,N/A,"The UK's largest and most popular casino. No membership, walk in freely, open 24/7, 6 bars, Pokerstars cash poker deck, award-winning Heliot Steak House, cabaret theatre, 2 smoking terraces & 3 floors of gambling. Great fun for gamblers and people...","['Casinos & Gambling', 'Fun & Games', 'Concerts & Shows', 'Cabarets', 'Theatres', 'More']",717,280,98,33,96
Queen Elizabeth Olympic Park,N/A,4.0,£11.50,203,N/A,N/A,"['Concerts & Shows', 'Theatres']",553,182,47,22,49
Wilton's Music Hall,N/A,4.5,0,352,N/A,N/A,"['Food & Drink', 'Shopping', 'Farmers Markets']",68,41,7,4,2
Seven Dials,"Olympic Stadium Loop Road Queen Elizabeth Olympic Park, Stratford, London E20 2ST England",4.5,0,403,N/A,"London Stadium (ex Olympic Stadium) is a superb multi-use venue to bring fans closer to music, sport and entertainment in a World Class environment. On non-event days, it offer Stadium Tours and hospitality for conferencing and eve","['Sights & Landmarks', 'Arenas & Stadiums']",982,397,165,98,77
Leighton House Museum,"Trafalgar Square, London England",4.5,0,274,N/A,"Ranked as one of London's greatest landmarks, this 185-foot high monument (circa 1843) looks down on the busy streets, fountains and swirling traffic of Trafalgar Squ","['Sights & Landmarks', 'Monuments & Statues', 'Points of Interest & Landmarks']",305,363,173,16,0
The Fan Museum,N/A,4.5,0,267,N/A,N/A,"['Museums', 'Observatories & Planetariums']",173,122,45,8,15
Hay's Galleria,"The Cut, SE1, London England",4.0,0,131,N/A,Victorian theater with a storied cast of famous performers including Laurence Olivier and Richard Bur,"['Concerts & Shows', 'Theatres']",474,176,37,22,20
Savoy Theatre,"11A Charing Cross Road, London WC2H 0EP England",4.5,0,527,N/A,"Used by more than 3 million visitors, The London Pass® is a complete sightseer credits package giving you access to over 80 of London's top attractions, museums and guided tours, saving you both time and money. Valid for 1-year from purchase date...",['Other'],416,271,170,146,151
Pimlico,N/A,4.5,0,319,N/A,N/A,"['Sights & Landmarks', 'Government Buildings']",84,37,12,4,2
Sloane Square,N/A,4.0,0,122,N/A,N/A,"['Sights & Landmarks', 'Architectural Buildings', 'Government Buildings']",163,82,21,3,2
Palace Theatre,"Rosebery Avenue, London EC1R 4TN England",4.5,0,62,N/A,London's Dance H,"['Concerts & Shows', 'Theatres']",359,117,29,7,5
The Magic Circle,N/A,4.5,0,196,N/A,N/A,"['Sights & Landmarks', 'Museums', 'Speciality Museums', 'Historic Sites', 'More']",91,63,13,3,1
Sipsmith Distillery,"Belvedere Road, London SE1 7PB England",4.5,0,221,N/A,"Situated in London’s stunning South Bank, the luxury 5-star Marriott County Hall Club & Spa is located on the top floors of this historic landmark building. The balcony areas offer breath-taking river views of Big Ben, The Houses of Parliament, and...","['Concerts & Shows', 'Sights & Landmarks', 'Architectural Buildings', 'Theatres', 'More']",88,43,14,4,2
Platform 9 3/4,London SW1H 0TL England,3.5,0,161,N/A,"One of the largest bus networks in the world, with around 8,500 vehicles in the fleet, 50 bus stations and 19,500 bus st","['Transportation', 'Mass Transportation Systems']",238,119,26,15,10
The O2,N/A,4.0,0,339,N/A,N/A,"['Sights & Landmarks', 'Fountains', 'Points of Interest & Landmarks']",303,253,128,51,19
Burlington Arcade,N/A,4.5,0,416,N/A,N/A,"['Museums', 'Speciality Museums']",284,277,166,108,72
DreamWork's Tours: Shrek's Adventure! London,N/A,3.5,£21.00,222,N/A,N/A,"['Sights & Landmarks', 'Monuments & Statues']",203,190,62,3,0
Tardis Police Box,"18 Folgate Street Liverpool Street Tube, London E1 6BX England",4.5,0,289,N/A,Dennis Severs' House offers a glimpse into 18th-century (Georgian-era) life in Engl,"['Museums', 'Speciality Museums']",381,191,84,40,30
St. Martins Theatre,"19 Great Eastern Street, London EC2A 3EJ England",4.5,0,229,N/A,"Dinerama is BACK and if you haven't made it down yet here's what you're missing - Six street diners, six bars, five street food shacks, two trucks, one DJ and a MILLION twinkling LEDs. Open for the rest of the summer four days a week every...","['Shopping', 'Flea & Street Markets']",223,148,22,13,10
Two Temple Place,"27 St. James's Place, London SW1A 1NR England",4.5,0,160,N/A,"Restored to the full splendor of its late eighteenth-century appearance, this manor house was once the residence of the Spencer family, whose famous member was Diana, Princess of Wa","['Sights & Landmarks', 'Architectural Buildings', 'Historic Sites']",107,26,10,2,1
Earl's Court,"49 City Road, London EC1Y 1AU England",4.0,0,135,N/A,The Museum of Methodism tells the history of Methodism from John Wesley to the present day and its contribution to shaping Britain's political and social history. John Wesley's House stands next to the Chapel. His home for over a decade it is one of...,"['Museums', 'Sights & Landmarks', 'Churches & Cathedrals', 'Speciality Museums', 'More']",90,34,5,1,0
Brixton Village,N/A,4.5,0,391,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",76,33,18,4,4
The Foundling Museum,N/A,4.5,0,177,N/A,N/A,"['Sights & Landmarks', 'Monuments & Statues']",115,74,31,2,1
Noel Coward Theatre,"12 Cable Street, London E1 8JG England",4.5,£59.72,364,2,"The museum at 12 Cable Street is a museum dedicated to the history of the East London in the 1880's, providing a serious examination of the crimes of Jack the Ripper within the social context of the period. For the first time it tells the story of...","['Museums', 'History Museums', 'Speciality Museums']",368,202,92,53,58
Guildhall,N/A,4.5,0,466,N/A,N/A,"['Sights & Landmarks', 'Sacred & Religious Sites', 'Points of Interest & Landmarks']",37,15,1,2,1
Southwark,"210 Shaftesbury Avenue, London WC2H 8DP England",4.5,0,282,N/A,Shaftesbury Theatre at the top of Shaftesbury Ave,"['Concerts & Shows', 'Theatres']",534,255,110,48,39
One New Change,N/A,4.5,0,93,N/A,N/A,"['Sights & Landmarks', 'Historic Sites']",191,116,12,0,0
Crossrail Place Roof Garden,"1 Apsley Way Piccadilly, Hyde Park Corner Roundabout, London W2 2UH England",4.5,0,304,N/A,"Set in the heart of royal London, Wellington Arch was built as an original entrance to Buckingham Palace, later becoming a victory arch proclaiming Wellington's defeat of Napoleon. Crowned by the largest bronze sculpture in Europe, it depicts the...","['Sights & Landmarks', 'Monuments & Statues']",203,354,135,19,2
Garrick Theatre,N/A,4.5,0,345,N/A,N/A,"['Shopping', 'Shopping Malls']",767,657,211,71,110
Russell Square,"Alexandra Palace Wood Green, London N22 7AY England",4.0,0,336,N/A,"Surrounded by 196 acres of lavish parkland and offering stunning views of London's skyline, this Victorian-style palace offers multi-purpose halls and rooms for a variety of events such as banquets, dinners, concerts and exhibiti","['Nature & Parks', 'Sights & Landmarks', 'Architectural Buildings', 'Gardens', 'Points of Interest & Landmarks', 'More']",341,296,82,42,47
Royal Festival Hall,N/A,4.0,0,335,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",75,126,44,6,3
Church of St. Bartholomew the Great,London England,4.5,0,262,N/A,"Sandwiched between Kensington, Belgravia and Mayfair, this is one of the most exclusive and pricey areas in London known for up-scale shops and restaura","['Sights & Landmarks', 'Other', 'Neighbourhoods']",110,130,29,2,4
Plaza Premium Lounge T5 Departures,N/A,4.0,0,297,N/A,N/A,"['Food & Drink', 'Shopping', 'Farmers Markets', 'Flea & Street Markets', 'More']",73,28,5,2,2
Duchess Theatre,N/A,4.5,£42.50,458,N/A,N/A,"['Nature & Parks', 'Gardens']",39,5,3,1,1
Golders Hill Park,"129-131 Albert Street Camden Town, London NW1 7NB England",4.5,0,138,2,"The Jewish Museum London is for people of all backgrounds and faiths to explore British Jewish heritage, identity and culture. Set against a spacious and modern architectural backdrop with displays across four permanent galleries, the museum brings...","['Museums', 'Speciality Museums', 'Art Museums', ""Children's Museums"", 'History Museums', 'More']",182,77,24,6,5
All Hallows By The Tower,London SW9 8HE England,4.5,0,281,N/A,"This neighborhood in South Central London is a hive of cultural activity that offers a number of restaurants, accommodations and shops to suit practically every taste and st","['Sights & Landmarks', 'Other', 'Neighbourhoods']",138,115,31,10,9
Adelphi Theatre,"5 Sloane Terrace, London SW1X 9DQ England",4.0,0,174,N/A,"Set in a fantastic location in the heart of Chelsea Cadogan Hall has become one of London's leading venues. The Hall's 950 seats, excellent acoustic and luxurious surroundings makes it the first choice for some of the UK's top orchestras, including...","['Concerts & Shows', 'Theatres']",131,71,6,6,7
The Mall,"Princes Gate Kensington Gore, London W8 England",4.5,0,231,N/A,"This gigantic bejeweled shrine protects the gilt bronze sculpture of Queen Victoria's husband, Prince Albert, which was designed and executed after the Prince Consort's death in 1","['Sights & Landmarks', 'Monuments & Statues', 'Points of Interest & Landmarks']",328,318,71,9,4
Baker Street,N/A,4.0,0,212,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",70,84,12,1,0
Parliament Square,N/A,4.5,0,128,N/A,N/A,"['Concerts & Shows', 'Theatres']",182,74,10,7,9
Bomber Command Memorial,"12-13 New Wharf Road Kings Cross, London N1 9RT England",4.5,0,275,2,"A waterside museum of London's canals and the Victorian ice trade, set in a former ice warehouse of the 1860s. It tells the colourful story of the canals, their people, horses and trade. Peer down into a huge ice well, uniquely preserved, and learn...","['Museums', 'History Museums']",120,119,29,11,9
The Arts Theatre,"King's Cross, London N1C 4DQ England",4.0,0,265,3,"Coal Drops Yard is King's Cross' boutique shopping and foodie hotspot, where Victorian heritage and breath-taking architecture collide in an extraordinary canal side setting. With a wonderful collection of niche brands and superb restaurants and...","['Shopping', 'Shopping Malls']",51,43,7,3,0
Hippodrome Casino,N/A,4.0,0,384,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks', 'Architectural Buildings']",58,11,15,0,0
Criterion Theatre,"St John’s Gate, St John’s Lane Clerkenwell, London EC1M 4DA England",4.5,£59.50,66,N/A,"The Museum tells the unique and fascinating story of an ancient religious military Order, from its origins caring for sick pilgrims in eleventh century Jerusalem, through to its modern-day role with St John Ambulance, the international first aid...","['Museums', 'History Museums']",112,46,4,3,0
Billingsgate Market,"Pier Street Isle of Dogs, London E14 3HP England",4.5,0,285,N/A,The largest city farm in London with over 32 acres of countryside in the middle of the Isle of Dogs to share with friendly fur and feathered creatures. We pride ourselves on our wonderful collection of British rare breeds and currently have over 200...,"['Sights & Landmarks', 'Farms']",111,77,22,5,8
London Stadium,N/A,4.0,0,320,N/A,N/A,"['Nature & Parks', 'Bodies of Water']",55,74,10,2,2
Nelson's Column,N/A,4.0,0,305,N/A,N/A,"['Shopping', 'Antique Stores']",103,59,13,3,4
Peter Harrison Planetarium,N/A,4.0,0,367,N/A,N/A,"['Sights & Landmarks', 'Architectural Buildings']",56,36,12,1,0
The Old Vic,London England,4.5,0,313,N/A,"Located next to Hyde Park, this London district is full of historical interest, along with the famous antique market in Portobello Road and a wide range of shops, cinemas and restaura","['Sights & Landmarks', 'Other', 'Neighbourhoods']",96,107,28,6,5
The London Pass,N/A,3.5,0,284,N/A,N/A,"['Sights & Landmarks', 'Bridges']",63,88,25,3,0
Old Bailey,"10 Keats Grove Hampstead, London NW3 2RR England",4.5,0,315,2,"Discover the house where Romantic poet John Keats wrote his best-loved poems. This beautiful Georgian villa is where Keats found inspiration, friendship and love. Now a museum and literary centre, the house brings to life the memory and legacy of...","['Sights & Landmarks', 'Historic Sites']",71,49,18,2,0
The UK Supreme Court,N/A,4.5,0,392,N/A,N/A,"['Sights & Landmarks', 'Monuments & Statues']",35,19,5,0,0
Sadler's Wells,N/A,4.5,0,386,N/A,N/A,"['Concerts & Shows', 'Theatres']",382,286,113,41,79
Fenton House,"Cambridge Heath Road, London E2 9PA England",4.5,0,344,N/A,"Welcoming over 400,000 visitors through its doors every year, the V&A Museum of Childhood in London's Bethnal Green houses the Victoria and Albert Museum's collection of childhood-related objects and artefacts, spanning the 1600s to the present ","['Museums', ""Children's Museums""]",346,303,140,38,17
"County Hall, London",N/A,4.5,0,264,N/A,N/A,"['Sights & Landmarks', 'Other', 'Neighbourhoods']",111,71,4,5,4
London Buses,N/A,4.5,0,1,N/A,N/A,"['Transportation', 'Mass Transportation Systems']",489,322,183,209,356
